"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"698f27ea-fda0-4e51-93e7-416ef575204f","17e91629-e3c5-431c-b63b-05c4e18409ec","ga067899","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"1954-09-04","1954","9","4","duncan, w","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"6a9fd77a-900d-48f0-bb68-27ce3ca7af92","bd447002-9b30-4d0e-b6e0-ce996b949da9","no0107378","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1952",NA,NA,"richard l. diener","4523e216-ee13-4b15-a3f7-a6fd56431604"
"6b4174cf-76ed-4190-9f51-f0f2d2e74099","d5c824ca-5fd6-4ad8-8f25-2b1ded47047a","3282226","orobanchaceae","macranthera","macranthera flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"6b9af354-d5d1-4728-afd9-d6214d4234d8","c0ea1635-f941-453b-9114-cc5be68d7d6a","ncu00056286","orobanchaceae","macranthera","macranthera flammea","united states","alabama",NA,NA,NA,"1985",NA,NA,"thompson, sue","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"6cfd63ba-a987-431b-93bb-a85827e9f9b4","http://ids.gsw.edu/herbarium/norris/00012250","00012250","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,NA,NA,NA,NA,NA,"341611f4-8b65-4655-b244-9be91a1109cd"
"6d2c0cb4-d4d7-4124-ba7b-70867cde84f0","d74c3f5b-7593-43f7-b89b-d20c9acfc69b","uwfp017234","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,NA,NA,NA,NA,NA,"e7016bd5-cb10-45b9-8959-0f5750f7a5db"
"6df61979-5e68-4ba0-9fd2-7cf36570620c","c8c7627f-df90-4e18-9865-1c5cb0b772c5","ncu00056405","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1995",NA,NA,"leonard, steven worth; moore, julie i. hackney","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"6e02e6aa-6f27-4575-a63e-7c17b13856a1","19fc82a4-8cea-42c8-b2cd-1232d13471a4","197854","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"1983-08-22","1983","8","22","s. b. jones, n. coile, m. moore, d. white, b. reed","f1cf8457-237e-487a-9d13-5de7d81b9de4"
"6e683eb3-d560-4f30-bf6f-2da2eb708370","c9e31a92-07dd-4442-ab75-2bf66110bf22","31234100665031","orobanchaceae","macranthera","macranthera flammea","united states","alabama",NA,NA,NA,"1972",NA,NA,"michael g. lelong","20360fae-574a-4d63-b9f6-47b1cc07fd22"
"6f600351-e089-4878-b640-fd7e5a95686d","urn:uuid:aef76f90-0fe7-11e3-80ec-0050569e004a","vsc0038188","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"1968-09-02",NA,NA,NA,"john r. bozeman","76fd34da-4892-4821-858d-98fe9e28ba8b"
"6fbb4a31-7ef3-43cc-8376-8565cfd0454b","urn:uuid:3f13eddc-2a2e-4890-ae2a-d5ed8a10c0d9","000084998","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",-89.1181352002,30.7900375296,"1953-08-24",NA,NA,NA,"delzie  demaree","b2b294ed-1742-4479-b0c8-a8891fccd7eb"
"70eae604-47f9-46a5-975f-c424a5e3c8a1","393d5af8-de0f-4891-897c-68b159845c22","3282215","orobanchaceae","macranthera","macranthera flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"70f96dec-f866-4290-857c-f219d277d9d2","850d2331-d354-4eb8-b378-65723d49e296","ncu00454100","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,NA,NA,NA,NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"711b3a95-90e3-4ca6-9efe-1536e8f1c71f","ad98bab5-c59a-42c7-8da0-202c317bc693","pemb0003950","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"1968-09-02","1968","9","2","bozeman, john r.","69d150df-eba4-4ab3-9156-71cb0db41830"
"71f4358f-b5f9-438d-b87c-17c0eccc95de","27db8880-baf6-4739-acc0-445f923565a1","barcode-01880853","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"1947-08-12","1947","8","12","r. f. thorne","7450a9e3-ef95-4f9e-8260-09b498d2c5e6"
"72aec4e0-40d4-43a0-a9e7-bea730ae7b37","urn:uuid:82aa0c6d-ce02-4b5f-8b39-be161eb8b8ec","000084980","orobanchaceae","macranthera","macranthera flammea","united states","florida",-85.6255312669,30.3051535579,"1958-09-03",NA,NA,NA,"r.k.  godfrey","b2b294ed-1742-4479-b0c8-a8891fccd7eb"
"72e2c68c-c8e5-44f7-a84d-8808e634238b","d656bbf2-004a-41be-a747-5d88fab600b5","mmns006028","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1966",NA,NA,"louis c. temple","1e798b2d-7f97-49b0-a864-79c968af91d3"
"7402a95a-e960-493b-a41a-67ddc42157cc","614f47c2-e219-46fd-9f84-f64fa8e57554","barcode-01880838","orobanchaceae","macranthera","macranthera flammea",NA,NA,NA,NA,NA,NA,NA,NA,"[data not captured]","7450a9e3-ef95-4f9e-8260-09b498d2c5e6"
"743af742-aa9f-433e-a0b3-0c9268a227d4","https://data.biodiversitydata.nl/naturalis/specimen/u.1726765","u.1726765","orobanchaceae","macranthera","macranthera flammea","united states",NA,NA,NA,"1968-09-02",NA,NA,NA,"bozeman jr","fabcdc12-9d29-4bd2-912b-176e71818144"
"74bc830c-a2d0-4952-8977-6a102a56e33e","445678a8-7214-48ef-9df1-ba2a3e77c488","251761","orobanchaceae","macranthera","macranthera flammea","united states","georgia",-82.317844,32.626007,"1968-09-02","1968","9","2","john r bozeman","d7b285d4-2643-45ee-9302-b0c3d51dda5c"
"759cb150-60ca-4cfc-be24-f0e8092313f1","edbc1e56-8e8e-4979-be04-f9a0bc3a9135","68506","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,"1954-08-08","1954","8","8","e.s. ford","781fd581-7b93-471e-a025-413e4bcd8491"
"75ff4965-aad9-4d13-b201-4efdd2780383","ff1be17d-7be6-4ad3-893f-c28323c6f6c7","mmns014303","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1995",NA,NA,"steve w. leonard","1e798b2d-7f97-49b0-a864-79c968af91d3"
"7601903a-02ce-42b0-9bed-2d17d4ed7501","f23057b0-cd5a-4b47-b2c3-fbe481a58729","ga067900","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"1947-08-25","1947","8","25","thorne, r","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"76bf93a7-be1c-455b-96a0-ef8d42e63828","e0f4d95f-05dd-4d2b-9d66-26142b8b0c68","3282223","orobanchaceae","macranthera","macranthera flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"773662d4-ed9a-461e-869b-3fc66afc4316","59a60893-f564-49a2-92a8-4ba0cc4fc69f","56088","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,"1949-10-03","1949","10","3","s.c. hood","781fd581-7b93-471e-a025-413e4bcd8491"
"77abd772-24ca-4e42-8311-31cd8b8bb6d4","2d4348fc-d19d-4490-a8bf-a6d547013327","usms_000015530","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1974",NA,NA,"wooten, jean","c3134980-bf5c-49b8-a289-790d45f02c86"
"787c088a-b7a4-44b2-9585-7f20897b5c80","cd7da05e-6b8c-495a-8f21-32bea5b1e5f9","duke10115049","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,NA,NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"7902fb32-96b6-4c11-af88-095f1178c8a0","http://n2t.net/ark:/65665/326ed037d-0b55-426f-a97f-c03c288fa1e5","us 1929909","orobanchaceae","macranthera","macranthera flammea","united states","georgia",NA,NA,"1947-08-12","1947","8","12","r. f. thorne","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
