genus,species,parasitic_habit,native,ecosystem,host,inat_GA,inat_entire,protection_state,protection_fed,NatureServ_status_GA,DNR_monitor,DNR_status_GA,NatureServ_status,EO,accessions,habitat,DNR GA Biodiversity Link,SERNEC Herbarium Link,NatureServ Link,INat Link,Key Notes
Epifagus,virginiana,Root Holoparasite,Yes,Forest,American Beech,209,10547,N/A,N/A,SNR,N/A,N/A,G5,0,4328,N/A,N/A,SERNEC - Epifagus virginiana (sernecportal.org),Epifagus virginiana | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/13/2016
Macranthera,flammea,Root Hemiparasite,Yes,Wetlands,Generalist,0,60,Threatened,No US federal protection,S1?,11 to 25,S1?,G3,15,384,"Wet, sandy thickets; pitcherplant bogs",Macranthera flammea (georgiabiodiversity.org),SERNEC - Macranthera flammea (sernecportal.org),Macranthera flammea | NatureServe Explorer,Observations · iNaturalist,Global Status last review 4/15/1998; Nature Serve states that status needs review
Melampyrum,lineare,Root Hemiparasite,Yes,Forest,Generalist,90,5066,N/A,N/A,S5,N/A,N/A,G5,0,4338,N/A,N/A,SERNEC - Melampyrum lineare (sernecportal.org),Melampyrum lineare | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/13/2016
Nestronia,umbellula,Root Hemiparasite,Yes,Forest,Generalist,4,155,Rare,No US federal protection,S3,less than 10,S3,G4,55,660,Mixed with dwarf shrubby heaths in oak-hickory-pine woods; often in transition areas between flatwoods and uplands,Nestronia umbellula (georgiabiodiversity.org),SERNEC - Nestronia umbellula (sernecportal.org),Nestronia umbellula | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 11/3/1994; Nature Serve states thta status needs review
Orobanche,minor,Root Holoparasite,No,Woodland edge,Generalist,0,174,N/A,N/A,SNA,N/A,N/A,GNR,0,256,N/A,N/A,SERNEC - Orobanche minor (sernecportal.org),Orobanche minor | NatureServe Explorer,Observations · iNaturalist,N/A
Orobanche,uniflora,Root Holoparasite,Yes,Forest,Generalist,53,3252,N/A,N/A,SNR,N/A,N/A,G5,0,3015,N/A,N/A,SERNEC - Orobanche uniflora (sernecportal.org),Orobanche uniflora | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/13/2016
Pedicularis,canadensis,Root Hemiparasite,Yes,Grassland,Generalist,230,14084,N/A,N/A,SNR,N/A,N/A,G5,0,7592,N/A,N/A,SERNEC - Pedicularis canadensis (sernecportal.org),Pedicularis canadensis | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/20/2024
Pedicularis,lanceolata,Root Hemiparasite,Yes,Wetlands,Generalist,0,1901,Endangered,No US federal protection,S1,less than 10,S1,G4,3,1770,Bogs and wet woods,Pedicularis lanceolata (georgiabiodiversity.org),SERNEC - Pedicularis lanceolata (sernecportal.org),Pedicularis lanceolata | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/20/2024
Phoradendron,leucarpum,Stem Hemiparasite,Yes,Forest,Oak,570,11182,N/A,N/A,SNR,N/A,N/A,G5,0,8005,N/A,N/A,SERNEC - Phoradendron leucarpum (sernecportal.org),Phoradendron leucarpum | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 4/10/1985; Nature Serve states that status needs review
Pyrularia,pubera,Stem Hemiparasite,Yes,Forest,Generalist,185,1593,N/A,N/A,SNR,N/A,N/A,G5,0,1615,N/A,N/A,SERNEC - Pyrularia pubera (sernecportal.org),Pyrularia pubera | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 9/9/1988; Nature Serve states that status needs review
Schwalbea,americana,Root Hemiparasite,Yes,Sandhills,Generalist,1,58,Endangered,Listed Endangered,S2,less than 10,S2,G2 ,21,423,"Open pinelands, as in well-managed, somewhat moist longleaf pine-wiregrass forests seeps",Schwalbea americana (georgiabiodiversity.org),SERNEC - Schwalbea americana (sernecportal.org),Schwalbea americana | NatureServe Explorer,https://www.inaturalist.org/observations?place_id=23&taxon_id=168637&view=species,Global Status last reviewed 4/2/2020
Seymeria,cassioides,Root Hemiparasite,Yes,Sandhills,Generalist,31,730,N/A,N/A,SNR,N/A,N/A,G5,0,1376,N/A,N/A,SERNEC - Seymeria cassioides (sernecportal.org),Seymeria cassioides | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 10/11/1985; Nature Serve states that status needs review
Seymeria,pectinata,Root Hemiparasite,Yes,Savannah,Generalist,36,689,N/A,N/A,SNR,N/A,N/A,G4,0,793,N/A,N/A,SERNEC - Seymeria pectinata (sernecportal.org),Seymeria pectinata | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 3/29/1990; Nature Serve states that status needs review
Viscum,album,Stem Hemiparasite,No,Forest,Generalist,0,60,N/A,N/A,N/A,N/A,N/A,GNR,0,0,N/A,N/A,N/A,Viscum album | NatureServe Explorer,Observations · iNaturalist,N/A
