"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Eryngium yuccifolium",-84.400536,33.779101,"USA","Georgia",NA,3988763534,"Apiaceae","SPECIES",21,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.575037,34.873851,"USA","Georgia",NA,4133625017,"Apiaceae","SPECIES",15,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.449839,33.953086,"USA","Georgia",NA,4116459861,"Apiaceae","SPECIES",8,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.38312,34.003851,"USA","Georgia",NA,4145476927,"Apiaceae","SPECIES",197,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-81.967255,33.385528,"USA","Georgia",NA,2641493264,"Apiaceae","SPECIES",5,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.718483,33.096283,"USA","Georgia",NA,4937121614,"Apiaceae","SPECIES",8,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.445085,33.114944,"USA","Georgia",NA,3301860515,"Apiaceae","SPECIES",8,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.529188,31.259949,"USA","Georgia",NA,4413448268,"Apiaceae","SPECIES",3571,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.364875,33.935733,"USA","Georgia",NA,3321004452,"Apiaceae","SPECIES",1414,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.233803,33.793097,"USA","Georgia",NA,4903832652,"Apiaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
