site,year,burial,field_plot,pair,plot,block,litter,removal,elevation,NO3,NH4,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd
Emerald Lake ,2024,year,7A,7,13,4,Castilleja,C,3210.215198,215,14,3288,363,314,16,17,11,0.56,2.3,0.5,37,2.32,37,0.12
Emerald Lake ,2024,year,7B,7,14,4,Castilleja,R,3210.283085,178,17,4499,523,309,67,22,11,0.90,6.2,1.4,51,4.68,35,0.27
Emerald Lake ,2024,year,8A,8,15,4,Control,C,3207.142886,211,12,4287,460,200,69,18,10,0.70,5.2,1.0,42,3.72,20,0.15
Emerald Lake ,2024,year,8B,8,16,4,Control,R,3209.155604,342,17,3870,441,290,26,35,14,1.60,4.8,0.9,49,7.84,36,0.34
Emerald Lake ,2024,year,9A,9,17,5,Mixed,C,3208.278304,67,5,4506,418,225,53,14,5,0.77,2.9,1.3,48,1.64,27,0.30
Emerald Lake ,2024,year,9B,9,18,5,Mixed,R,3207.1131,137,6,3761,248,153,30,21,8,1.21,4.7,0.7,49,3.77,22,0.38
Emerald Lake ,2024,year,10A,10,19,5,Control,C,3207.270977,267,10,4529,226,87,4,22,4,1.26,1.7,1.1,42,7.37,20,0.23
Emerald Lake ,2024,year,10B,10,20,5,Control,R,3207.806218,118,6,4178,283,115,8,15,8,0.98,2.8,1.4,41,2.32,26,0.29
Emerald Lake ,2024,year,11A,11,21,3,Castilleja,C,3211.664924,163,13,5733,582,736,33,14,6,0.49,3.6,0.7,34,0.84,25,0.38
Emerald Lake ,2024,year,11B,11,22,3,Castilleja,R,3211.096031,69,18,5473,442,586,57,16,10,0.93,6.4,1.4,48,3.27,25,0.15
Emerald Lake ,2024,year,12A,12,23,3,Control,C,3215.348404,95,13,5478,601,681,59,14,5,0.81,5.7,0.7,40,3.38,23,0.28
Emerald Lake ,2024,year,12B,12,24,3,Control,R,3211.643745,129,6,4876,354,161,23,17,5,0.95,3.5,1.4,45,2.67,29,0.20
Emerald Lake ,2024,year,13A,13,25,1,Control,R,3217.015556,466,1,4725,160,161,14,30,3,1.77,5.5,1.0,52,6.84,17,0.47
Emerald Lake ,2024,year,13B,13,26,1,Control,C,3216.145001,270,12,5850,218,219,14,24,3,1.52,3.1,0.6,40,4.49,13,0.10
Emerald Lake ,2024,year,14A,14,27,1,Community,C,3216.19598,399,5,3139,272,199,30,55,10,1.17,4.6,0.9,75,4.67,25,0.22
Emerald Lake ,2024,year,14B,14,28,1,Community,R,3216.001015,229,11,2989,277,215,55,16,6,1.11,4.1,0.8,46,1.16,29,0.08
Emerald Lake ,2024,year,15A,15,29,1,Castilleja,C,3216.514942,175,43,2581,306,443,19,35,15,0.91,5.1,1.0,41,2.68,42,0.14
Emerald Lake ,2024,year,15B,15,30,1,Castilleja,R,3218.547977,395,36,3015,319,397,24,51,39,1.14,5.8,0.3,41,3.84,49,0.12
Emerald Lake ,2024,year,16A,16,31,2,Control,C,3216.43204,58,19,3201,308,168,16,19,8,0.57,3.8,1.5,30,0.37,43,0.16
Emerald Lake ,2024,year,16B,16,32,2,Control,R,3215.721708,115,13,3378,327,145,20,17,5,0.51,3.9,0.6,24,0.56,31,0.03
Emerald Lake ,2024,year,17A,17,33,4,Community,R,3210.958403,191,11,4002,363,205,9,19,5,0.55,4.1,0.7,27,1.40,27,0.13
Emerald Lake ,2024,year,17B,17,34,4,Community,C,3214.838866,194,5,4518,395,240,14,54,10,1.34,5.6,1.4,40,5.02,54,0.30
Emerald Lake ,2024,year,18A,18,35,5,Community,C,3208.328564,159,8,4874,386,414,32,54,9,1.52,8.5,0.7,27,10.48,32,0.06
Emerald Lake ,2024,year,18B,18,36,5,Community,R,3208.763818,295,9,5264,398,195,32,49,17,1.16,9.7,1.6,45,6.13,25,0.15
Emerald Lake ,2024,year,19A,19,37,5,Castilleja,C,3208.841651,396,15,5094,566,337,76,43,16,0.90,8.0,1.6,90,3.90,23,0.04
Emerald Lake ,2024,year,19B,19,38,5,Castilleja,R,3208.213374,159,9,5463,402,349,40,28,10,0.68,11.2,1.3,43,2.87,23,0.17
Emerald Lake ,2024,year,20A,20,39,4,Mixed,C,3210.320734,116,15,5079,197,177,25,23,7,1.37,4.0,2.9,56,4.07,39,0.16
Emerald Lake ,2024,year,20B,20,40,4,Mixed,R,3213.273701,313,9,4977,410,171,31,50,9,1.27,9.8,1.3,43,4.87,33,0.25
